t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,mu_0,nu_0,tau_0,mu_1,nu_1,tau_1,mu_2,nu_2,tau_2,mu_3,nu_3,tau_3,mu_4,nu_4,tau_4,mu_5,nu_5,tau_5,mu_6,nu_6,tau_6,mu_7,nu_7,tau_7 
2.20589,6.58964086575099,5.005424221914593,1.5770741430921933,0.7324102106972298,0.3707551349676522,-0.3780941026851995,0.42797068612166295,8.476620385002066,7.799616945305237,-1.591842823883873,0.319125072642747,-0.673939016475523,-0.18456937471539273,-6.23389651486108,-23.044111274952115,1.6301437364548739,1.1952907825127026,6.719631143076013,0.24932256522737392,5.617523519664483,5.609048732616751,5.635827175443806,5.6358249952738175,0.013423280012700316,9.344428682274791e-05,0.04973505149828412,0.9886119193831249,0.0010413069257315974,0.08818644968474938,0.993269034453232,0.00011276188300230567,0.04648642909204325,0.99459460091406,4.026080394822327e-05,0.046600393153373,0.9946221354826712,4.026391913859653e-05,0.045269164672740184,0.9951850749187222,6.322894679561425e-05,0.044982053918570304,0.9956497934064631,8.217530219879396e-05,0.04502244979411212,0.9982035352538005,3.280993253284324e-05,0.04497740268142515
2.22961,6.788943823582699,5.183952638575024,1.5397928028028316,0.729175491061324,0.37746716853775225,-0.3807529672197971,0.4252610531493209,8.32875681200196,7.253027084276336,-1.5531769787256569,0.34747651631125975,-0.514554165012336,-0.17865562153771533,-6.197182113058777,-23.36883436530729,1.357518316948678,-2.4095706915608166,2.6108030014824175,-0.460141980385295,5.646140747551543,5.66178744181703,5.662804578123107,5.662802711190719,0.013334538189780743,8.874182291957452e-05,0.04928014289783957,0.9873653965727601,0.0012465228103647385,0.08872626287941533,0.9931590682324662,0.00010996622076579505,0.046413672382741696,0.9945556894550354,3.8911459024680334e-05,0.046489988277487335,0.9945832096814635,3.892580120767724e-05,0.04525712732914467,0.9951234828124793,6.159210624285143e-05,0.044983809750329395,0.9955696158189749,8.01775874882554e-05,0.04502294569947455,0.9981707207001373,3.281455366309034e-05,0.044979292602305834
2.25333,6.984749131137521,5.349423548676721,1.5033491764246127,0.7264738849989648,0.383485613052595,-0.3824921323317984,0.4229330835395127,8.181764078390685,6.69873502346579,-1.520977613805401,0.2903232204551028,-0.45262778248765,-0.18956986067288825,-6.160692165407335,-23.641629400503664,1.1153351957190865,-2.057839848386722,2.02608036119783,-0.39198074586308523,5.676242637067148,5.689571627198501,5.689781971972863,5.689780327200854,0.013249980289462062,8.455790031868103e-05,0.048893017826733685,0.9858585536292297,0.0015068429435304924,0.0891242574404035,0.9930516669553832,0.00010740127708310155,0.04634848282036528,0.9945180066672134,3.768278782202703e-05,0.046392697988802335,0.9945455024427208,3.7707238742775634e-05,0.04524647946508788,0.9950634769493182,6.000586316117582e-05,0.04498530069762224,0.9954914356355506,7.81801834241982e-05,0.04502338756885227,0.9981379074598598,3.2813240277528145e-05,0.04498092350234491
2.27705,7.177079002829605,5.5016690823049546,1.4675995398894401,0.7242795854459366,0.388799740676155,-0.38395955950261224,0.42050808062062184,8.035636860276094,6.1379724592542555,-1.4945226595502816,0.24151272898815548,-0.40457060337377204,-0.1988673640068611,-6.141069820336772,-23.890830086397862,0.9024730024334526,-1.6459943885117991,1.5815700569610496,-0.31193190840277696,5.706078251086259,5.716685434261944,5.716759358457511,5.7167578601675215,0.013169155234900101,8.082505456195932e-05,0.04856199360663949,0.984016377878814,0.0018421757504156985,0.08941209441473788,0.9929465991608727,0.00010506779451047135,0.04629047237838276,0.9944814434118545,3.656325535882999e-05,0.04630672058063542,0.9945089053508772,3.65970918435414e-05,0.045237063520403964,0.9950050009244328,5.847602488544224e-05,0.04498656896246319,0.9954152297134509,7.620592209988563e-05,0.04502378513771682,0.9981050997031935,3.2807756666311564e-05,0.04498233687881686
2.30077,7.365949117606553,5.64054266029608,1.4324162170470236,0.7224972163317247,0.3935466429865867,-0.3852257675130789,0.4179929014592673,7.889975070172035,5.571299032755778,-1.4731166444908677,0.202470917683897,-0.36705689120117674,-0.20626616608822748,-6.135694642693422,-24.12108714380248,0.7127950031519629,-1.3720881223966184,1.303062012801126,-0.25885318496028026,5.734900372283139,5.743702795770015,5.743736738685346,5.743735323487118,0.013091668474345815,7.748676055428554e-05,0.048277657179110756,0.981734340981031,0.0022820368977830765,0.08961598225071558,0.992843634862656,0.00010296429821662857,0.04623923240377424,0.9944459006389371,3.5542772917379336e-05,0.046230546953629735,0.9944733197787441,3.55855721332222e-05,0.045228745238926615,0.9949479939223342,5.700700209845566e-05,0.04498764884329516,0.995340957035283,7.42726781678366e-05,0.04502414792877104,0.9980722998364078,3.279986678575437e-05,0.044983566251923846
2.32449,7.551366384146049,5.765909607140303,1.3976862171156756,0.7210493280397174,0.39783595250378256,-0.3863327724174197,0.41540288374226747,7.744440775442652,4.9991640733083385,-1.4562096561038427,0.1699259673843662,-0.3361491909218789,-0.21240597875907313,-6.142562480832567,-24.336444654634896,0.5424759427697835,-1.1617569013116336,1.0947013316594052,-0.21817889573657334,5.763276379038495,5.7706958489236815,5.770714113544369,5.770712726114226,0.013017172997795999,7.449547654981702e-05,0.04803240466903671,0.9788627061318229,0.0028716348492080863,0.08975708973884473,0.9927425468029821,0.00010108805967389546,0.04619436252180107,0.9944112881167274,3.461252220972623e-05,0.046162909689910325,0.9944386556870465,3.466409169759393e-05,0.045221410402457196,0.9948923920033629,5.5601918971420416e-05,0.04498856831559041,0.9952685630212044,7.239401407869075e-05,0.04502448500833995,0.9980395085072618,3.279132914604023e-05,0.04498463879122816
2.34821,7.733330291702777,5.87764470573797,1.3633084373715638,0.7198822523560924,0.4017435498279366,-0.3873077432540785,0.41274994895675593,7.598743580497711,4.421920987515173,-1.4433425141849285,0.1423699234275956,-0.3101836571852731,-0.21758102633965468,-6.160042833350364,-24.53957369156814,0.38860156718410127,-0.9884768046177832,0.9252043480988851,-0.18471124246761278,5.791398993368935,5.797680587039841,5.797691483760646,5.797690072333639,0.012945361996863056,7.181100093294291e-05,0.04782006683778164,0.9751797408350024,0.0036829652968206,0.08985216360415522,0.9926431110512239,9.94357517582041e-05,0.046155488083539156,0.9943775233400169,3.3764776710352967e-05,0.04610273994768887,0.9944048305838789,3.382510316752361e-05,0.04521496173304302,0.9948381292758056,5.426272755717064e-05,0.04498935030862141,0.9951979832197044,7.05798014999949e-05,0.04502480482906006,0.9980067246219448,3.2783885316896956e-05,0.044985576629982704
2.37193,7.911833917186468,5.975630338714387,1.3291918115595862,0.7189533915638701,0.4053287823302685,-0.38817129708033365,0.4100436422247082,7.45263176407575,3.83985982604343,-1.4341251625557665,0.1189239596054369,-0.2882384708417066,-0.22196224508774276,-6.186756780082552,-24.732576244403397,0.24874946344646715,-0.8318072368845693,0.7726600142694195,-0.15444020993744964,5.819409411786899,5.824661867337643,5.824668849928342,5.824667361515471,0.012875962826569116,6.9399170293939e-05,0.04763561489754371,0.9703435573450282,0.004836183489974136,0.08991420365151767,0.9925451070973013,9.80039539226489e-05,0.046122271682961756,0.9943445305879981,3.2992752018917196e-05,0.04604913285944935,0.9943717686202698,3.3061963609093235e-05,0.04520931633526483,0.9947851389336204,5.2990342185162644e-05,0.04499001369915969,0.9951291463984436,6.883682126076293e-05,0.04502511515394219,0.9979739453735811,3.2779248363792164e-05,0.044986397887977835
2.39565,8.086864763960062,6.05975515936479,1.2952538275021175,0.718225654363376,0.4086421274433085,-0.3889407822378287,0.4072919523346676,7.305886311916759,3.253220781863443,-1.4282250029430152,0.09919408603440608,-0.26991152714736844,-0.2256254565641923,-6.221432552019593,-24.9172125535645,0.12065486250201021,-0.6807415566062439,0.6254562279103776,-0.12520102948846537,5.847383039791786,5.851641500099355,5.851646212534688,5.851644587229723,0.012808732008796533,6.723081777258442e-05,0.04747492979554616,0.9637999182094854,0.00654363913554282,0.08995311897836332,0.9924483175541577,9.678954314352454e-05,0.046094420646499365,0.9943122401085803,3.2290479417701716e-05,0.04600131958405875,0.9943393998021568,3.23688181129607e-05,0.04520440357743926,0.9947333541514104,5.17847822099148e-05,0.04499057408788221,0.9950619770861237,6.716931232008424e-05,0.04502542303882262,0.997941166282187,3.2779091394098065e-05,0.04498711746875503
2.41937,8.258405502055961,6.129913013796027,1.2614192209830968,0.7176637818134666,0.41173015019558507,-0.3896322777181383,0.4045019323615029,7.158318375213323,2.6622022962998804,-1.4253631557777866,0.08304738250644465,-0.2550761521305506,-0.2285951355634063,-6.262819429943753,-25.09485034676349,0.0020364198784825448,-0.5548813261535507,0.5029553188498899,-0.10083545383080345,5.875190022517472,5.87862026485051,5.878623571986133,5.878621735083342,0.012743451074378093,6.528093441843884e-05,0.0473346212728117,0.954591545979783,0.009208372229702434,0.08997632425148679,0.9923525275503975,9.579000376026843e-05,0.046071692011469316,0.9942805874096309,3.165269894953527e-05,0.045958644650133385,0.9943076593017166,3.1740500440213206e-05,0.04520016333890063,0.9946827088366695,5.064531474093216e-05,0.04499104440863407,0.994996397630406,6.557945571752616e-05,0.045025734854314756,0.9979083812455564,3.278503663063952e-05,0.044987747681983686
